user_id,user_index,rank,story_id,headline,source_file,predicted_category,category_confidence,score
U245228,161368,1,666456,ఇప్పట్లో ధోనీ రిటైర్ అవ్వడు : ఎమ్మెస్కే,val-00000-of-00001.parquet,sports,0.9989833,10.522729873657227
U245228,161368,2,540597,వెస్టిండీస్ పర్యటనకు భారత జట్టు ప్రకటన,val-00000-of-00001.parquet,sports,0.99895525,10.522516250610352
U245228,161368,3,2529927,ఆకాశ్దీప్ ఆడేనా?,train-00000-of-00001.parquet,sports,0.99894875,10.522470474243164
U245228,161368,4,2530007,ఆకాశ్దీప్ ఆడేనా?,train-00000-of-00001.parquet,sports,0.99894875,10.522470474243164
U245228,161368,5,2529957,ఆకాశ్దీప్ ఆడేనా?,train-00000-of-00001.parquet,sports,0.99894875,10.522470474243164
U245228,161368,6,2542932,రోహిత్కు ముందే చెప్పేశారా?,test-00000-of-00001.parquet,sports,0.9988475,10.521368980407715
U245228,161368,7,2543335,రోహిత్కు ముందే చెప్పేశారా?,test-00000-of-00001.parquet,sports,0.9988475,10.521368980407715
U245228,161368,8,2543414,రోహిత్కు ముందే చెప్పేశారా?,test-00000-of-00001.parquet,sports,0.9988475,10.521368980407715
U245228,161368,9,2509585, బుమ్రాకే పగ్గాలు!,train-00000-of-00001.parquet,sports,0.99883145,10.521023750305176
U245228,161368,10,2509639, బుమ్రాకే పగ్గాలు!,train-00000-of-00001.parquet,sports,0.99883145,10.521023750305176
U539584,488429,1,2513068,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.969014,8.14853286743164
U539584,488429,2,2513315,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.969014,8.14853286743164
U539584,488429,3,2513089,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.969014,8.14853286743164
U539584,488429,4,2508608,హాట్ హిట్స్ ,train-00000-of-00001.parquet,music,0.9685333,8.144806861877441
U539584,488429,5,2508615,హాట్ హిట్స్ ,train-00000-of-00001.parquet,music,0.9685333,8.144806861877441
U539584,488429,6,2508601,హాట్ హిట్స్ ,train-00000-of-00001.parquet,music,0.9685333,8.144806861877441
U539584,488429,7,2527338,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.96483475,8.110334396362305
U539584,488429,8,2527189,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.96483475,8.110334396362305
U539584,488429,9,2527427,హాట్ హిట్స్,train-00000-of-00001.parquet,music,0.96483475,8.110334396362305
U539584,488429,10,2515611,ఆమె కూడా భర్తకు విడాకులు ఇచ్చింది,train-00000-of-00001.parquet,music,0.96360785,8.104691505432129
U69259,658435,1,2528868,జమిలిపై ముందుకు!,train-00000-of-00001.parquet,newspolitics,0.9746055,9.738265991210938
U69259,658435,2,2517765,పార్లమెంటు ముందుకు,train-00000-of-00001.parquet,newspolitics,0.9662837,9.71558666229248
U69259,658435,3,2518106,పార్లమెంటు ముందుకు,train-00000-of-00001.parquet,newspolitics,0.9662837,9.71558666229248
U69259,658435,4,2518272,పార్లమెంటు ముందుకు,train-00000-of-00001.parquet,newspolitics,0.96249855,9.712869644165039
U69259,658435,5,2517732,పార్లమెంటు ముందుకు 16 బిల్లులు!,train-00000-of-00001.parquet,newspolitics,0.9604872,9.704483985900879
U69259,658435,6,2518049,పార్లమెంటు ముందుకు 16 బిల్లులు!,train-00000-of-00001.parquet,newspolitics,0.9604872,9.704483985900879
U69259,658435,7,2517832,పార్లమెంటు ముందుకు 16 బిల్లులు!,train-00000-of-00001.parquet,newspolitics,0.9604872,9.704483985900879
U69259,658435,8,2527970,ఏపీ కేబినెట్లోకి నాగబాబు!,train-00000-of-00001.parquet,newspolitics,0.9562601,9.697700500488281
U69259,658435,9,2527755,ఏపీ కేబినెట్లోకి నాగబాబు!,train-00000-of-00001.parquet,newspolitics,0.9562601,9.697700500488281
U69259,658435,10,2503356,5న రాష్ట్రానికి రాహుల్,train-00000-of-00001.parquet,newspolitics,0.9639071,9.691366195678711
